# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# FG       = Etmaalgemiddelde windsnelheid (in 0.1 m/s); 
# FHN      = Laagste uurgemiddelde windsnelheid (in 0.1 m/s); 
# FHNH     = Uurvak waarin FHN is gemeten; 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# TN       = Minimum temperatuur (in 0.1 graden Celsius); 
# TNH      = Uurvak waarin TN is gemeten; 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# TXH      = Uurvak waarin TX is gemeten; 
# DR       = Duur van de neerslag (in 0.1 uur); 
# RH       = Etmaalsom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHX      = Hoogste uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# RHXH     = Uurvak waarin RHX is gemeten; 
# NG       = Etmaalgemiddelde bewolking (bedekkingsgraad van de bovenlucht in achtsten, 9=bovenlucht onzichtbaar); 
# 
# STN,YYYYMMDD,   FG,  FHN, FHNH,   TG,   TN,  TNH,   TX,  TXH,   DR,   RH,  RHX, RHXH,   NG
# 
  344,20110218,   39,   30,    7,   11,    3,    5,   20,   22,    0,    0,    0,    1,    8
  344,20110219,   56,   40,    1,   27,    8,   24,   52,   14,   11,    7,    6,   24,    8
  344,20110220,   60,   50,    1,    9,  -13,   24,   27,   14,    8,    1,    1,    1,    7
  344,20110221,   53,   40,    4,  -12,  -31,   24,   21,   14,    0,    0,    0,    1,    2
  344,20110222,   37,   30,    4,  -12,  -59,    6,   26,   14,    0,    0,    0,    1,    4
  344,20110223,   53,   20,    1,   10,  -24,    2,   32,   14,   89,   45,   10,   19,    8
  344,20110224,   26,   10,   17,   66,   21,    1,  103,   14,   26,    9,    4,    2,    8
  344,20110225,   39,   10,    1,   82,   62,    4,   98,   23,    0,    0,    0,    1,    8
  344,20110226,   56,   40,   15,   76,   60,   21,   95,    1,  125,  115,   21,   14,    8
  344,20110227,   74,   40,   23,   54,   35,   24,   64,    2,  223,  218,   21,   21,    8
  344,20110228,   36,   10,   22,   26,   13,   23,   37,   19,   48,   14,    6,    4,    8
  344,20110301,   54,   30,    1,   28,   13,   24,   41,   15,    0,    0,    0,    1,    8
  344,20110302,   58,   40,   22,   21,   -8,    7,   62,   14,    0,    0,    0,    1,    3
  344,20110303,   45,   30,    1,   11,  -16,    6,   53,   15,    0,    0,    0,    1,    1
  344,20110304,   31,   20,    6,    5,  -37,    6,   62,   15,    0,    0,    0,    1,    1
  344,20110305,   23,   10,    4,   26,   -6,    1,   63,   12,    0,   -1,   -1,   14,    6
  344,20110306,   43,   20,    3,   31,  -20,   24,   66,   12,    0,    0,    0,    1,    3
  344,20110307,   40,   20,    2,   25,  -31,    2,   78,   15,    0,    0,    0,    1,    0
  344,20110308,   45,   20,    3,   46,  -22,    3,  103,   14,    0,    0,    0,    1,    0
  344,20110309,   72,   40,   18,   68,   45,   24,   97,   15,   14,    5,    3,    9,    6
